review_text_processed,polarity
"excelente loja. sempre que posso, faco minhas compras aqui.",1
"comprei 3 plafons de led, 2 ralos inteligentes e 2 luminarias. um dos ralos veio quebrado, comprometendo a funcionalidade do mesmo, e as 2 luminarias simplesmente nao foram entregues. e ate agora nada",0
excelente produto.,1
recomendo pra todos,1
"muito boa, recomendo",1
tudo dentro do prazo estabelecido.,1
tudo otimo sem reclamacoes. obrigada,1
"muito insatisfeita!!!o produto que foi entregue nao era o mesmo que pedi! propaganda enganosa,decepcionada com a parceira do site stark!!! tentei resolver por email,e ate agora nao obtive respost",0
estou desde dezembro aguardando o produto e ainda nao recebi.decepcionada com a americana pois alem do atraso dei de presente uma pista de agua que nao cumpre com a propaganda. atrasar minha encomend,0
"o fornecedor e confiavel e recebi meu produto conforme prometido, somente o periodo de espera para o recebimento foi longo, mas nao comprometeu a confianca do cliente.",1
"voces estao de parabens, entregar muito rapido muito satifeita obrigado",1
bom,1
"infelizmente nao recebi o produto, entao cancelei a compra.",0
muito bom. chegou direitinho. recomendo!,1
"esse produto veio certo ,mas ja fiz compra anterior que tive que cancelar o pedido pois ja estava com atraso de um mes na entrega.",0
produto ja era pra ter chegado dia 04/01 e ate hoje nada. um gramde absurdo .quero que seja tomado providencias urgentes,0
produto como descrito no anuncio.,1
quanto tempo mais de espera?,0
"mercadoria nao foi entregue, lamentavel!!!!!",0
"produto de ma qualidade, nada a ver com a foto, nao recomendo, pior compra q/ fiz no stark, nunca tive problemas antes dessa compra horrivel, nao devolvo pq n tenho de correr atras disso.",0
otimo,1
adorei comprar na stark . o site e mais do que otimo!,1
recebiemdo o produto no prazo produtos de qualidade eu recom,1
recomendo... chegou dentro do prazo.,1
produto entregue no prazo e de otima qualidade.,1
comprei um capacete taurus zareef v3 branco numero 58 porem me mandaram um kit de pistao para cg 150 erro grosseiro por parte da loja espero que resolvam logo esse problema pois o capacete e presente,0
"estou aguardando uma resposta ate hoje, sobre os meus produtos, ja foram pagos e ainda nao os recebi, foram 03 iguais e necessito falar com pessoas e nao maquina ou gravacoes.",0
recebi o produto conforme eu pedi ...muito obrigado...,1
"informo que ate o presente momento nao recebi a compra do dia 20/02 com prazo para entrega no dia 21/03. informo ainda que me sinto extremamente lesado, tendo em vista que o mesmo serviria de presente",0
nenhuma esclarecimento sobre atraso da entrega.,0
bom,1
espero que entregue o jogo de toalha que nao veio,0
"perfeita essa cuba, estou apaixonada por ela! a torneira tambem e linda!!!",1
s,1
produto ...bom..como eu esperava..com o no anuncio,0
chegou dentro do prazo.,1
"o lustre veio totalmente quebrado, o vidro chegou todo estracalhando",0
"minha namorado gostou demais, leve e bonito e facil de ajustar.",1
"o produto veio com o lula molusco com a cabeca quebrada e nao veio as rochas, apenas a casa do personagem citado esta em bom estado, gostaria de trocar ou reembolso!",0
"bem afiada, cortou bem",1
gostei muito no futuro proximo comprarei mais produtos ....,1
gostei do produto,1
no quesito entrega voces estao de parabens. chegou muito antes do previsto. pena que o tablet trava muito e o sistema usa muito do espaco interno que ja nao e la essas coisas.,0
"produto muito bonito, muito bem embalado.",1
entrega antes do prazo. produto excelente!!!,1
nao quero avaliar,1
bom recomendo 👍👍,1
"produto chegou bem antes do prazo porem esta com defeito, ja postei devolvendo.",0
o produto veio errado e ainda nao me retornaram para fazer a troca.,0
minha filha amou.,1
muito obrigada,1
"produto conforme o anuncio, envio rapido e correto.",1
ate agora nenhum retorno da loja. enviei e mail mas nao responderam.,0
"muito atraso na entrega de um produto simples e pequeno. ate hoje nao recebi nem o produto, nem uma satisfacao sobre o assunto.",0
mais agilidade na entrega,0
"os patins sao mais lindos ainda pessoalmente e da pra ve que e de otima qualidade o material, amei! a loja entregou muito rapido, parabens e obrigada!",1
eu vejo como positivo esse vendedor bom produto e entrga no tempo combinado por este motivo simplesmente recomendo,1
a foto no site indicava uma unidade e nao um kit com duas delas. acabei recebendo 2 kits e tenho so 2 portas. um deles chegou entortado,0
produto entregue no prazo e o produto e excelente .,1
"prazo de entrega ok qualidade do produto ok faltou apenas a ficha do ""dealer"" a qual consta na caixa e nao chegou.",1
recebi o produto muito antes da data estimada para a entrega.,1
muito bom!,1
"otimo produto, otima loja.",1
produto perfeito e entrega super rapida,1
a entrega foi feita antes do prazo e recebi o produto todo ok. a cor nao e muito bonita pessoalmente foi so o que eu nao gostei no produto. mas o material e bom e veio na medida correta.,1
"muito boa , entregue dentro do.prazo!",1
"gostei do kit, acho interessante fazer outros kit's da mesma marca com outros produtos, assim poderei analisar os kit's para ter sempre o produto em casa evitando assim gastos com o fretes.",1
o tecido e grosso parece mais organza 1ue cetim....nao gostei o acabamento tambem e muito ruim.,0
produto da de 10 a 0 em relacao as porcarias oferecidas por outros sites e que nao tem efeito nenhum. esse e natural e 100% confiavel.,1
oieee boa tarde recebi um produto que nao pedi acho que veio por engano por favor veja como devo proceder com a troca o quanto anteriormente produto que deveria vim seria uma taca de sobremesa chamada,0
achei um pouco fragil,1
"comprei o produto. por espelho decorativo,e nao acrilico e pelas fotos da imagem ilustrativa,os circulos pareciam maiores,mas como nao continha esta informacao na descricao nao posso reclamar por isso",0
"comprei dois e recebi apenas 1, segundo o atendente a segunda estar para chegar ate agora nao recebi nenhum rastreamento da segunda grelha",0
"comprei nesta loja, mas estou decepcionada com esta loja, pois mandei varios e-mails, porque comprei o cobertor no tamanho king e mandaram no tamanho casal, estou decepcionada com esta compra.",0
como eu estava precisando das tintas fiz o pedido so achei o prazo da entrega um pouco longo tirando isso esta tudo ok muito bom,1
"produto foi entregue com defeito com a pulseira cortada .... mas nao consigo contato adequado, nao tenho retorno",0
.,1
"pratico e facil de usar, alem de facil de lavar. recomendo.",1
"o perfume que recebi tem embalagem diferente da foto do site e tambem diferente de um perfume igual que tenho em casa. o cheiro e bem parecido, mas nao igual. enfim, parece falsificado.",0
"loja melhor so na irineu, vc nao sabe nem eu",1
o que eu tenho de dizer ...vcs estao de parabens!! muito obrigado !!!,1
segunda compra na loja. estou muito satisfeito. produtos chegaram rapidamente. recomendo.,1
gosto de comprar com vcs. mas nunca recebi cupons de desconto!!!!,1
excelente atendimento,1
tive alguma dificuldade no reconhecimento do cartucho pela impressora mas depois de tres tentativas parece que normaiizou,1
boa noite estou com dificuldade de arrumar o relogio da pulseira e nem conectar o bluetooth,1
muito bom,1
"produto foi entregue dentro do prazo, superando minhas expectativas. veio bem embalado e sem avarias, apesar da caixa amassada.",1
"site dos correios informa que foi entregue, porem o produto nao foi entregue.",0
"meu gatinho adorou, pode ser cama ou toca, e macia e bonita!",1
"o relogio que eu comprei da marca oakley e falso, estou no aguardo de uma solucao para meu problema que me agrade.",0
o produto e de qualidade e de custo beneficio,1
gostaria de saber quando chega o meu produto ?,0
fui muito bem atendida estou satisfeita,1
"nao me deram nenhuma satisfacao,no rastreamento parou em sao goncalo e nao foi mais adiante.",0
muito bom o produto,1
produto esta de acordo com o que foi divulgado.,1
entrega rapida,1
"o produto chegou muito antes do esperado, maravilhoso.",1
a entrega atrasou pois nao percebi que o endereco que constava no cadastro estava incorreto. a loja responsavel informou que vai reenviar. estou aguardando a nova tentativa de entrega.,1
entregue antes do prazo estipulado e em perfeitas condicoes.,1
"chegou antes do prazo estipulado! super recomendo, o relogio e otimo era para presente de dia dos pais meu esposo adorou! alem de leve e mais bonito que na foto 😊",1
entrega muito demorada. ainda nao recebi o produto,0
paguei e nao recebi o produto e nao sei como recuperar o valor.,0
"vei junto com o controle 4 pilhas aa, mas o controle usa duas pilhas maiores.",1
bom,1
"otimo produto, chegou na embalagem bem lacrada e antes do tempo previsto de entrega.",1
muito bom comprar na stark,1
"nao foi entregue o produto que solicitei. entrei em contato com as lannister e estou aguardando retorno para a troca pelo produto correto, porem ainda nao tive retorno das lannister e ja esta fora d",0
"dormir com o aparelho meu dentes sangrou,estao dolorido,nao recomendo.",0
"recomendo , porem fiz o pedido de tres luminarias e ate hoje chegaram somente 2",1
"atraso na entrega(a qual ja possuia um prazo mais do que suficiente), logo nao consigo avalia-lo positivamente, muito menos opinar a favor da transportadora.",0
ainda nao recebi o produto.,0
comprei 3 unidades do produto vieram 2 unidades que nao corresponde com o que comprei. devido a minha opiniao e negativa com relacao a esse vendedor pois nao nao cumpriu com o prometido na venda.,0
a capinha nao deu certo pro bebe conforto da cosco. nao recomendo.,0
"o produto chegou muito rapido e como o descrito no anuncio, precisei fazer algumas mudancas devido as necessidades especificas do meu servico..",1
gostei muito do produto.,1
recebi um produto diferente do que pedi e nao estou sendo assistida quanto a isso !,0
muito bom,1
"um relogio : bonito, pratico, e muito facil no manuseio. obrigada",1
entrega rapida,1
produto mto bom,1
mt bem embalado.,1
cancelei o pedido e o mesmo nao foi estornado. obs: ja fazem 3 meses,0
recebi bem antes do prazo e o produto chegou perfeito! recomendo.,1
nao recebi,0
ainda nao recebi,0
recomendo.... demorou um pouco mais ta bom. entregaram direitinho.,1
produto dentro das expectativas. bonito e de qualidade.,1
rapidez no servico prestado.,1
dentro do combinado,1
"veio tudo certinho, eu super recomendo esse produto.chegou antes do previsto.",1
"so posso falar sobre o produto quando comecar a usa-lo, o que ocorrera apenas no proximo final de semana, mas ate o momento posso dizer que o atendimento foi ""top"" !",1
produto estava com prazo de entrega para 13/04. no momento esta em dois dias de atraso. necessario verificar o porque do atraso e regularizar entrega. presente de aniversario pendente de entrega.,0
"passados 50 dias, nao recebi o produto.",0
produto bom e entregue super rapido...,1
bom,1
comprei o produto e esta com 5 dias de atraso na entrega e ninguem entra em contato para explicar. eu nao consigo contato com a loja.,0
"comprei 6 kits de ""cloreto de magnesio pa 240 capsulas de 500 mg"". chegaram apenas 2 kits em embalagens distintas. restam chegar ainda 4 kits. ja reclamei no site, mas ainda nao obtive resposta.",0
chegou no prazo esperado,1
muito bom chegou antes do prazo produto de qualidade e frete em conta.,1
produto em perfeitas condicoes.,1
nao estou entendendo?! por q desta avaliacao?? cade meu produto??,0
produto com etiqueta de autenticidade.,1
otimo produto e de facil substituicao no aparelho. demorei nem 2 min para troca,1
eu comprei e nao funcionou,0
parabens,1
e presente pro mor so saberei se veio correto qndo ele pegar comigo.mas a entrega foi pessima os correios nao entregou tive que ir buscar sempre compro site e tdos entregar certo mas por a targaryen nao,0
otimo produto,1
nao recomendo esse produto. ele e simplesmente pessimo ou veio com defeito. e muito fragil e o som e muito baixo. nao gostei.,0
estou satisfeito,1
muito bom,1
so recebi os 2 ventiladores. nao recebi pendente meia lua.,0
n,1
"boa tarde. produto entregue antes do prazo estipulado, com qualidade e seguranca.",1
entrega rapidissima!!!! o produto vou avaliar ainda.. olhei superficialmente.. parece otimo.. vamos ver quanto instalar!,1
essa e a segunda fez que fiz compra e sempre fui bem atendido fico muito grato pelo atendimento abrigado.,1
"produto de otima qualidade e entrega no prazo, recomendo.",1
e um bom fornecedor. nada a reclamar.,1
tudo joia,1
o produto me parece de otima qualidade.,1
o produto chegou em otimo estado e chegou antes do prazo parabens lojas lannister estou muito feliz com vcs,1
"pessimo parceiro para o stark trabalhar. nao entregou o produto, nao respondeu as mensagens que deixei atraves do site do stark. estou realmente decepcionada.",0
"errei ao nao prestar atencao que era eau de toillet, mas o cheiro e maravilhoso pra quem ama perfume doce",1
muito satisfeito .,1
uma vergonha comprar um produto e nao o receber.,0
chegou antes do prazo...,1
otimo,1
produto de excelente qualidade muito bom,1
"recebi o produto muito bem embalado, e bem antes da data prevista. estou satisfeito. recomendo.",1
adorei,1
"nao fiquei totalmente satisfeita porque esse produto nao foi entregue na minha residencia, pois tive que me dirigir ate o correio para retirar a mercadoria.",1
produto muito bom de qualidade e entregou no prazo.,1
bom atendimento,1
desejo um gaveteiro maior e rosa.kkkkkk tudo que comprei ate o momento.maravilhoso,1
entrega bem antes do prazo pedido pelo vendedor.,1
adorei e super recomendo,1
"nao recebi nem ao menos, nenhuma notificacao do destino do produto... e uma falta de respeito com o cliente.",0
"estou muito decepcionada com o frete, o vendedor nao tem culpa dos correios serem tao irresponsaveis! demorou mais de 1 mes para chegar e no final tive que ir na agencia buscar! pra que paguei frete?",1
"produto entregue no prazo, material muito bom, ja veio montado conforme descricao do produto no periodo da venda.",1
"na minha opiniao, esse vendedor corresponde as expectativas do cliente. eu recomendo, nota 10",1
comprei um produto que esteva anunciando uma coisa e o produto nao corresponde ao anuncio,0
"os panos de pratos sao lindos, so achei um pouco pequeno, mas e de qualidade.",1
"amei tudo e chegou rapido,",1
atendimento muito bom,1
"bolsa de muita qualidade, tamanho perfeito. indico a todos",1
otima,1
produto dentro da expectativa,1
"costurada com linha escura na parte clara da cortina, muito feio, solicitei cancelamento, nao recebi o codigo de postagem, favor enviar.",0
kyjk,1
"otima loja, entregou o produto corretamente antes do termino do prazo.",1
"o prazo de entrega e tudo veio em perfeitas ordens. o unico problema e que o prazo demora mesmo. demorou cerca de 14 dias para chegar. tirando isso, nota dez a todos os envolvidos da venda.",1
comprei um produto porem recebi outro.,1
"atendeu super bem todas as expectativas, sao bem afiadas e veio em um estojo preto bem organizado e bonito",1
"a loja cumpriu o prazo. quanto ao produto, estou ainda testando. e preciso certa habilidade ao movimentar o conjunto para que as pecas continuem unidas, mas o vidro fica realmente limpo",1
"chegou antes do prazo, produto exatamente como esperava.",1
otimo,1
muito bom. parabens,1
infelizmente o produto nao chegou dentro do prazo estabelecido.,0
satisfacao com os produtos e tudo entregue no tempo certo. obrigada!,1
produto dentro das expectativas visualizadas no site.,1
nao recebi o produto ainda,0
"este produto foi bem resolvido,,,,",1
aguardando a entrega no endereco informado.,0
eu comprei duas bonecas lol e so veio uma,0
"o produto tem uma boa construcao e aparencia, apesar de ter vindo com 02 dos seus cantos descascados, alem disso, um dos vidros esta com uma pequena trinca, acho que deveria ser melhor embalado.",1
recomendo,1
nao recebi o produto no prazo previsto,0
"cancelei a compra um dia depois, no site aparece como produto entregue, sendo que nao recebi nada e mesmo assim foi cobrado em meu cartao. quero o cancelamento imediatamente.",0
produto excelente e prazo de entrega otimo. recomendo. parabens pela seriedade e compromisso.,1
"recebi 12 dias antes do prazo, e muito bem empacotado.",1
gostei chegou rapidinho,1
produto conforme descricao e chegou suuuuper rapido!,1
"adorei o material, e feito de corino, porem de uma otima qualidade, chega a ser meio que emborrachado. toda revestida por dentro, tamanho otimo.",1
"gostei muito, veio certinho",1
bom,1
nao recebi e fiquei sem informacao se vai ser cancelado ou vai entrega,0
"cortina linda! amei, irei comprar outras cores!",1
porque nao me entregaram? gostaria de saber o porque.,0
tudo certo!!,1
produtos bom recomendo,1
parabens,1
"almofada simples, bonita e bastante funcional. gostei!",1
o produto chegou correto e antes do prazo !,1
servico excelente qualidade entrega capricho atencao cuidado vou continuar comprando com a empresa parabens por cativar os clientes vou recomendar amei,1
veio menor do que o anuncio. 0.90x1.40m,0
"voce compra um mp3 player, para ouvir suas musicas em mp3, certo? errado. o produto veio arranhado, nao carrega mp3, testei varios cabos, varios pcs e nada. cobraram 40 reais para algo ruim e quebrado",0
otima entrega,1
👍🏻👌🏻👏🏻,1
recomendaria se nao tivesse pressa para receber o produto no quesito entrega esta perdendo feio para concorrencia uma loja desse porte se enrrolar tanto p fazer uma entrega tem q agilizar essa parte.,0
recebi o produto excelente qualidade,1
recebi o produto bem antes da data prevista .,1
"o produto chegou antes da data prevista e muito bem embalado. porem, veio na cor errada. quando fiz o pedido, solicitei o modelo de cor preta e veio o modelo de cor branca.",1
otimo produto chegou ate antes do prazo venho perfeitamente pode confiar loja de confianca,1
"recebi o produto no prazo, em perfeitas condicoes.",1
"nao recebi as costas nem o assento da cadeira, apenas os ferros de suporte.",0
ainda dentro do prazo q me foi dado. no aguardo,0
!!!!!!,1
"nao comprei esse produto, foi feito o cancelamento dessa compra. meu cartao foi clonado.",1
gostei,1
muito bom...,1
fiquei mt feliz por ter comprado nesse site e de confianca .,1
perfeito! atendimento on line vio.,1
parabens comprei um produto de qualidade e chegou de um dia para o outro.,1
parabens pela competencia,1
material de excelente qualidade!,1
"o produto e pessimo, nao conserva a temperatura do liquido e ainda fica quente por fora. entretanto nao o que reclamar da loja: entregou bem antes do prazo.",1
"autofalante muito bonito, roproducao de otima qualidade, nem coloquei mais a tampa de grade para deixar eles a mostra. diz ser original do logan, porem a conexao e deferente, tem que adaptar.",1
"atendeu minhas expectativas,chegou antes do prazo,tecido lindo e de boa qualidade.amei.",1
otimo produto.,1
solicito melhoras no prazo de entrega dos produtos.,1
"produto otimo, chegou bem antes da data prevista",1
nao gostei do produto,0
cliente 100% satisfeito,1
tudo perfeito,1
"o stark e show para compras na internet, facil de comprar, tem meios seguros para efetuar o pagamento, e rapido na entrega. o unico problema e esse programa de avaliacao do vendedor que fica t",1
entendo que voces deveriam informar que os produtos serao entregues em varias remessas quando se trata de mais de um objeto.,1
"esta pareceria entre a lannister e as demais lojas foi muito bom, pois veio a contribuir positivamente, facilitando a relacao de compras entra a empresa e seus clientes.",1
"produto otima qualidade, tudo certinho , nao veio faltando nada e chegou antes do prazo de entrega ! super recomendo! nao vejo a hora da minha princesa nascer para usar ele!",1
"tive que retirar no correio, nao avisaram que eu teria que me deslocar para retirar, nao entregaram em casa.",0
recomendo!!!!!!!!,1
"baixar o valor do frete, tem sido um pouco caro",1
o produto e bom mais a lixeira me decepcionou e muito pequena se tiver 3 lt tem muito.,1
muito bom recomendo gostei muito,1
"o produto e bom, porem imaginava que fosse maior..",1
nao recebi o produto. pessima empresa nao recomendo.,0
"o unico problema e que, na descricao da propaganda do produto, estava indicando a capacidade de 450 / 750w, mas na etiqueta da descricao do produto recebido na embalagem ha a indicacao de 500w.",0
a embalagem na hora da entrega estava perfeita. infelizmente so abrimos a embalagem depois que o entregador foi embora. para nossa surpresa a lata do brinquedo estava totalmente amassada.,0
produto de pessima qualidade e ainda por cima a cor da foto nao e exatamente a cor da colcha.,0
entrega bem antes do prazo perfeito!!,1
deveria ser mais rapido,1
"hoje, dia 02/08/2017- quarta feira, informo que ainda nao recebi 02 lustres pendente meia lua meia bola esfera aluminio 34cm escovado, o correios so entregou ate agora 4 dos 6 lustres que comprei....",0
"sei que esse nao e o canal ideal, estou ha dias tentando realizar esse cancelamento e nao estou conseguindo. recebi o produto, porem minha filha ganhou o mesmo produto do pai. preciso cancelar.",1
"produto de qualidade, entrega antes do prazo. excelente",1
feliz com o produto. entrega rapida e antes do prazo. recomendo.,1
"cadastro rapido, excelente produto e prazo de entrega antes do esperado",1
entregue bem antes do prazo. sem nenhum problema.,1
"o unico problema foi que me cobraram um frete absurdo, para nao entregarem na minha residencia.",0
"entrega rapida , muito antes do prazo",1
rapido e conforme anuncio,1
"recebido em ordem, bem embalado e no prazo. gostei muito!",1
recomendo . chegou antes do prazo e tudo certinho .,1
"sendo um produto de ceramica, e fragil. ao desembalar, ja apresentava sinal de batida e trincas. pedi devolucao e estou aguardando contato. necessario, alem do plastico bolha, espuma na embalagem.",0
"produto entregue dentro do periodo estipulado. ainda assim, um prazo tao longo e motivo para eu pensar 2 vezes antes de comprar novamente. para quem nao tem pressa, boa opcao.",1
nao recebi o produto. o ptoduto em que eu vi na loja era uma coisa e nao chegou e eu tinha colocado todos os dados corretor ja verifiquei na agencia dos correios e nao estava quero meu reembolso no ma,0
otimo,1
"muito satisfeito com a compra e a entrega. produto entregue no prazo certo, super bem embalado e protegido. parabens pelo trabalho e seriedade.",1
gosto muito de comprar pela loja on-line recebo tudo que peco.,1
muito bom. amei!!!,1
"muito decepcionado com o parceiro targaryen da lannister produto comprado, pago e nao entregue muita decepcao favor agilizar a entrega ou quero meu dinheiro de volta.",0
o produto e otimo e correu tudo bem.,1
"boa tarde! recebi apenas uma unidade do produto comprado, por favor, verificar o que houve. aguardo.",0
esta nos correios desde 8/1,0
paguei por dois itens e so veio um.,0
"otimo vendedor, entrega no prazo.",1
recebemos o produto antes do prazo. muito bom!,1
ate ligaram pra mim para confirmar. excelente,1
tudo ok!,1
rapida e segura.,1
"peco por favor verificar a entrega do pedido, pois nao recebemos.",0
chegou bem embalado e conforme a descricao. veio antes do prazo de entrega.,1
parabens pelo atendimento e entrega do produto pois tudo com uma qualidade ecepsional.,1
"comprei cinta termica ajustavel modeladora abdominal shape now hb,porem chegou cinta modeladora abdominal emagrecedora.",0
encomendei e paguei por 2 unidades do produto (pelicula de vidro 3d moto x4) e somente uma foi entregue.,0
"demora absurda para entrega, dentro do prazo especificado por eles, mas ainda sim muito demorado!",0
empresa confiavel,1
"durante a compra nao encontrei a opcao de alterar o nome do destinatario, por se tratar de presente gostaria de que a rcemessa fosse em nome do presenteado.",1
otimo produto! chegou antes do prazo!!!,1
"produto nao e original ,de mau qualidade nunca mais compro com ele ,as tesouras nao fecham bem vagabunda mesmo tipo deve custar uns 10 reais cada no maximo.fiquei mto puto com os produtos q veio .",0
"o produto foi embalado apenas com papel pardo sobre a embalagem e enviado pelos correios. logico, a embalagem chegou amassada e so deus sabe se o produto esta funcionando ou nao, ainda nao testei.",0
fiz a compra no inicio de setembro e ate hoje 11 de outubro nao recebi o produto aguardando uma solucao da empresa,0
sempre confiei e dou nota 1000 ao prazo de entrega das lannister. so nao achei legal essa que veio pelos correios e demorou um pouco.,1
comprei e nao recebi. sem nenhuma noticia ate o momento.,0
o produto chegou dentro do prazo.,1
"estou totalmente insatisfeito com a compra do produto que ainda nao chegou! ja paguei a primeira prestacao do relogio, estou quase pagando a segunda, sem ter o produto!",0
produto bom,1
o produto ate entao nao chegou nao.,0
"recebi o produto no prazo, tudo ok",1
"recomendo, produto otimo e prazo de entrega cumprido. estou muito feliz com a compra.",1
nao recebi o produto,0
produto muito bom! chegou certinho!,1
paguei o frete e tive que ir buscar do outro do mundo errado tem que entrega em casa,1
"o relogio que recebi e uma falsificacao da marca casio, nao veio em uma embalagem apropriada, nao tem manual e ainda por cima parece usado.",0
gostei mt do produto recomendo de boas,1
adorei a credibilidade da loja. me deram ate dia 14/02/2018 para entrega e o mesmo chegou 27/01/2018. comprarei outras vezes e super indico. obrigada,1
"apesar de estar no prazo de entrega o produto demorou muito para chegar, fiz o pedido do mesmo produto em um concorrente do stark que entregou bem antes.",0
loja nota 10,1
"produto de boa qualidade e acabamento para o preco que esta sendo vendido. apesar de nao ser grande, cabe um notebook de ate 17 polegadas confortavelmente. tem zipers grandes com trilhos robustos.",1
produto chegou rapido.,1
produto muito bom chegou em perfeitas condicoes,1
produto correto bom vendedor recomendo,1
"pessimo e gosto horrivel! impossivel de beber , nao desolve! me sinto arrependida! lannister usei so 1scop gostaria de trocar nao faz 7 dias q comprei, tem jeito ?",0
parabens pela presteza e agilidade.,1
"muito bom, recebi o produto antes do prazo estabelecido.",1
nao recebi o produto,0
produto original,1
muito bom recomendo!!,1
